Province/ Region/ City	Population (10,000s)	Daily	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9
 	 	Confirmed cases*	Suspected cases	Deaths	Confirmed cases	Deaths	 	 	 
Hubei	5917.0	1693	596	132	61682	1921	 	 	 
Guangdong	11346.0	3	1	1	1331	5	 	 	 
Henan	9605.0	5	121	0	1262	19	 	 	 
Zhejiang	5737.0	1	9	0	1173	0	 	 	 
Hunan	6899.0	1	12	0	1008	4	 	 	 
Anhui	6324.0	4	0	0	986	6	 	 	 
Jiangxi	4648.0	1	0	0	934	1	 	 	 
Jiangsu	8051.0	2	0	0	631	0	 	 	 
Chongqing	3102.0	2	41	0	555	5	 	 	 
Shandong	10047.0	1	8	1	544	3	 	 	 
Sichuan	8341.0	6	30	0	514	3	 	 	 
Heilongjiang	3773.0	6	21	1	470	12	 	 	 
Beijing	2154.0	6	58	0	393	4	 	 	 
Shanghai	2424.0	0	78	0	333	1	 	 	 
Hebei	7556.0	4	0	0	306	4	 	 	 
Fujian	3941.0	1	4	0	293	0	 	 	 
Guangxi	4926.0	2	12	0	244	2	 	 	 
Shaanxi	3864.0	2	19	0	242	0	 	 	 
Yunnan	4830.0	1	16	0	173	0	 	 	 
Hainan	934.0	0	14	0	163	4	 	 	 
Guizhou	3600.0	0	2	1	146	2	 	 	 
Shanxi	3718.0	1	3	0	131	0	 	 	 
Tianjin	1560.0	3	62	0	128	3	 	 	 
Liaoning	4359.0	0	64	0	121	1	 	 	 
Gansu	2637.0	0	0	0	91	2	 	 	 
Jilin	2704.0	1	11	0	90	1	 	 	 
Xinjiang	2487.0	0	0	0	76	1	 	 	 
Inner Mongolia	2534.0	2	3	0	75	0	 	 	 
Ningxia	688.0	1	0	0	71	0	 	 	 
Hong Kong SAR	745.0	2	0	0	62	1	 	 	 
Taipei and environs	2359.0	1	0	0	23	1	 	 	 
Qinghai	603.0	0	0	0	18	0	 	 	 
Macao SAR	66.0	0	0	0	10	0	 	 	 
Xizang	344.0	0	0	0	1	0	 	 	 
Total	142823.0	1752	1185	136	74280	2006	 	 	 
Country/Territory/ Area	Confirmed* cases (new) 81 (4) 73 (8) 51 (20) 22 (0) 16 (0)	Likely place of exposure†	 	 	Total cases with site of transmission under investigation (new) 7 (1) 5 (3) 5 (2) 2 (0) 0 (0)	Total deaths (new) 0 (0) 1 (0) 0 (0) 0 (0) 0 (0)	 	 	 
 	 	China (new)	Outside reporting country and outside China (new)	In reporting country	 	 	 	 	 
Western Pacific Region	 	 	 	 	 	 	 	 	 
Singapore	 	81 (4)	23 (0)	0 (0)	 	 	 	 	 
Japan	 	73 (8)	26 (0)	3 (2)	 	 	 	 	 
Republic of Korea	 	51 (20)	13 (0)	4 (0)	 	 	 	 	 
Malaysia	 	22 (0)	17 (0)	1 (0)	 	 	 	 	 
Viet Nam	 	16 (0)	8 (0)	0 (0)	 	 	 	 	 
Australia	15 (0)	12 (0)	0 (0)	3 (0)	0 (0)	0 (0)	 	 	 
Philippines	3 (0)	3 (0)	0 (0)	0 (0)	0 (0)	1 (0)	 	 	 
Cambodia	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
South-East Asia Region	 	 	 	 	 	 	 	 	 
Thailand	35 (0)	23 (0)	0 (0)	5 (0)	7 (0)	0 (0)	 	 	 
India	3 (0)	3 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Nepal	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Sri Lanka	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Region of the Americas	 	 	 	 	 	 	 	 	 
United States of America	15 (0)	13 (0)	0 (0)	2 (0)	0 (0)	0 (0)	 	 	 
Canada	8 (0)	7 (0)	0 (0)	0 (0)	1 (0)	0 (0)	 	 	 
European Region	 	 	 	 	 	 	 	 	 
Germany	16 (0)	2 (0)	0 (0)	14 (0)	0 (0)	0 (0)	 	 	 
France	12 (0)	5 (0)	0 (0)	7 (0)	0 (0)	1 (0)	 	 	 
The United Kingdom	9 (0)	2 (0)	6 (0)	1 (0)	0 (0)	0 (0)	 	 	 
Italy	3 (0)	3 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Russian Federation	2 (0)	2 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Spain	2 (0)	0 (0)	2 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Belgium	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Finland	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Sweden	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Eastern Mediterranean Region	 	 	 	 	 	 	 	 	 
United Arab Emirates	9 (0)	6 (0)	0 (0)	2 (0)	1 (0)	0 (0)	 	 	 
Egypt	1 (0)	0 (0)	0 (0)	1 (0)	0 (0)	0 (0)	 	 	 
Other	 	 	 	 	 	 	 	 	 
International conveyance‡ (Diamond Princess)	542 (88)	0 (0)	0 (0)	0 (0)	542 (88)	0 (0)	 	 	 
