Province/ Region/ City	Population (10,000s)	In last 24 hours	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9	South-East Asia Region	Unnamed: 1	Unnamed: 2	Unnamed: 6
Georgia	3	0	0	0	Imported cases only	3	 	 	 				
Russian Federation	3	0	0	0	Imported cases only	1	 	 	 				
Estonia	2	1	0	0	Imported cases only	0	 	 	 				
Ireland	2	1	0	0	Imported cases only	0	 	 	 				
Portugal	2	0	0	0	Imported cases only	1	 	 	 				
Andorra	1	0	0	0	Imported cases only	1	 	 	 				
Armenia	1	0	0	0	Imported cases only	2	 	 	 				
Belarus	1	0	0	0	Imported cases only	5	 	 	 				
Latvia	1	0	0	0	Imported cases only	1	 	 	 				
Lithuania	1	0	0	0	Imported cases only	5	 	 	 				
Luxembourg	1	0	0	0	Imported cases only	2	 	 	 				
Monaco	1	0	0	0	Under investigation	3	 	 	 				
North Macedonia	1	0	0	0	Imported cases only	6	 	 	 				
Poland	1	1	0	0	Imported cases only	0	 	 	 				
Ukraine	1	1	0	0	Imported cases only	0	 	 	 				
			1.0	0.0	Local transmission					Thailand	43.0	0.0	1.0
			0.0	0.0	Imported cases only					India	6.0	1.0	0.0
			0.0	0.0	Local transmission					Indonesia	2.0	0.0	2.0
			0.0	0.0	Imported cases only					Nepal	1.0	0.0	40.0
			0.0	0.0	Imported cases only					Sri Lanka	1.0	0.0	37.0
			 	 	 					Eastern Mediterranean Region	 	 	 
			77.0	11.0	Local transmission					Iran (Islamic Republic of)	2336.0	835.0	0.0
			0.0	0.0	Imported cases only					Kuwait	56.0	0.0	2.0
			0.0	0.0	Imported cases only					Bahrain	49.0	0.0	1.0
			0.0	0.0	Imported cases only					Iraq	31.0	5.0	0.0
			0.0	0.0	Local transmission					United Arab Emirates	27.0	6.0	0.0
			0.0	0.0	Local transmission					Lebanon	13.0	0.0	1.0
			0.0	0.0	Imported cases only					Oman	12.0	6.0	0.0
			0.0	0.0	Imported cases only					Qatar	8.0	1.0	0.0
			0.0	0.0	Imported cases only					Pakistan	5.0	0.0	1.0
			0.0	0.0	Imported cases only					Egypt	2.0	0.0	2.0
			0.0	0.0	Imported cases only					Afghanistan	1.0	0.0	8.0
			0.0	0.0	Imported cases only					Jordan	1.0	0.0	1.0
			0.0	0.0	Imported cases only					Morocco	1.0	0.0	1.0
			0.0	0.0	Imported cases only					Saudi Arabia	1.0	0.0	1.0
			0.0	0.0	Imported cases only					Tunisia	1.0	0.0	1.0
			 	 	 					Region of the Americas	 	 	 
			6.0	4.0	Local transmission					the United States	108.0	44.0	0.0
			0.0	0.0	Local transmission					Canada	30.0	3.0	0.0
			0.0	0.0	Local transmission					Ecuador	7.0	1.0	0.0
			0.0	0.0	Imported cases only					Mexico	5.0	0.0	2.0
			0.0	0.0	Imported cases only					Brazil	2.0	0.0	3.0
			0.0	0.0	Imported cases only					Argentina	1.0	1.0	0.0
			0.0	0.0	Imported cases only					Chile	1.0	1.0	0.0
			0.0	0.0	Imported cases only					Dominican Republic	1.0	0.0	2.0
			 	 	 					African Region	 	 	 
			0.0	0.0	Local transmission					Algeria	5.0	0.0	1.0
			0.0	0.0	Imported cases only					Nigeria	1.0	0.0	5.0
			0.0	0.0	Imported cases only					Senegal	1.0	0.0	1.0
			208.0	48.0	 					Subtotal for all regions	11963.0	2103.0	 
			6.0	0.0	Local transmission					International conveyance (Diamond Princess) ‡	706.0	0.0	2.0
			214.0	48.0	 					Grand total§	12669.0	2103.0	 
