Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Unnamed: 2	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Eastern Mediterranean Region	Unnamed: 1	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Guinea	16	0	0.1	0.2	Local transmission	1
Finland	1313.0	95.0	13.0	2.0	Local transmission	0.0	 													
Greece	1212.0	56.0	43.0	5.0	Local transmission	0.0	 													
Iceland	1086.0	66.0	2.0	0.0	Local transmission	0.0	 													
Croatia	790.0	77.0	6.0	0.0	Local transmission	0.0	 													
Serbia	785.0	44.0	13.0	0.0	Local transmission	0.0	 													
Slovenia	763.0	33.0	11.0	0.0	Local transmission	0.0	 													
Estonia	715.0	36.0	3.0	0.0	Local transmission	0.0	 													
Ukraine	549.0	69.0	13.0	2.0	Local transmission	0.0	 													
Lithuania	484.0	0.0	7.0	0.0	Local transmission	1.0	 													
Armenia	482.0	0.0	3.0	0.0	Local transmission	1.0	 													
Hungary	447.0	0.0	15.0	0.0	Local transmission	1.0	 													
Latvia	376.0	0.0	0.0	0.0	Local transmission	1.0	 													
Andorra	370.0	29.0	8.0	2.0	Local transmission	0.0	 													
Bosnia and Herzegovina	359.0	34.0	9.0	3.0	Local transmission	0.0	 													
Bulgaria	359.0	13.0	8.0	0.0	Local transmission	0.0	 													
Slovakia	336.0	0.0	0.0	0.0	Local transmission	1.0	 													
Kazakhstan	312.0	18.0	1.0	0.0	Local transmission	0.0	 													
Republic of Moldova	298.0	35.0	2.0	0.0	Local transmission	0.0	 													
North Macedonia	285.0	26.0	7.0	1.0	Local transmission	0.0	 													
Azerbaijan	273.0	83.0	4.0	0.0	Local transmission	0.0	 													
Cyprus	230.0	16.0	7.0	1.0	Local transmission	0.0	 													
San Marino	230.0	1.0	25.0	1.0	Local transmission	0.0	 													
Albania	223.0	0.0	11.0	1.0	Local transmission	1.0	 													
Malta	156.0	5.0	0.0	0.0	Local transmission	0.0	 													
Belarus	152.0	0.0	0.0	0.0	Local transmission	1.0	 													
Uzbekistan	149.0	4.0	2.0	0.0	Local transmission	0.0	 													
Kyrgyzstan	107.0	23.0	0.0	0.0	Local transmission	0.0	 													
Georgia	103.0	5.0	0.0	0.0	Local transmission	0.0	 													
Montenegro	91.0	6.0	1.0	0.0	Local transmission	0.0	 													
Liechtenstein	64.0	2.0	0.0	0.0	Under investigation	0.0	 													
Monaco	49.0	3.0	0.0	0.0	Local transmission	0.0	 													
Holy See	6.0	0.0	0.0	0.0	Under investigation	1.0	 													
Territories**	 	 	 	 	 	 	 													
Faroe Islands	168.0	9.0	0.0	0.0	Local transmission	0.0	 													
Kosovo[1]	106.0	12.0	1.0	0.0	Local transmission	0.0	 													
Gibraltar	69.0	4.0	0.0	0.0	Local transmission	0.0	 													
Jersey	63.0	0.0	2.0	0.0	Local transmission	1.0	 													
Guernsey	45.0	6.0	0.0	0.0	Local transmission	0.0	 													
Isle of Man	42.0	0.0	0.0	0.0	Local transmission	1.0	 													
Greenland	10.0	0.0	0.0	0.0	Under investigation	2.0	 													
South-East Asia Region	 	 	 	 	 	 	 													
Thailand	1524.0	0.0	9.0	0.0	Local transmission	1.0	 													
Indonesia	1414.0	129.0	122.0	8.0	Local transmission	0.0	 													
India	1071.0	0.0	29.0	0.0	Local transmission	1.0	 													
Sri Lanka	120.0	0.0	1.0	0.0	Local transmission	1.0	 													
Bangladesh	49.0	0.0	5.0	0.0	Local transmission	1.0	 													
Maldives	17.0	0.0	0.0	0.0	Local transmission	1.0	 													
Myanmar	10.0	2.0	0.0	0.0	Local transmission	0.0	 													
Nepal	5.0	0.0	0.0	0.0	Imported cases only	2.0	 													
Bhutan	4.0	0.0	0.0	0.0	Imported cases only	1.0	 													
Timor-Leste	1.0	0.0	0.0	0.0	Under investigation	10.0	 													
		3186.0						Iran (Islamic Republic of)	41495.0	2757.0	117.0	Local transmission	0.0							
		240.0						Pakistan	1865.0	25.0	7.0	Local transmission	0.0							
		154.0						Saudi Arabia	1453.0	8.0	0.0	Local transmission	0.0							
		59.0						Qatar	693.0	1.0	0.0	Local transmission	0.0							
		47.0						Egypt	656.0	41.0	1.0	Local transmission	0.0							
		83.0						Iraq	630.0	46.0	4.0	Local transmission	0.0							
		41.0						United Arab Emirates	611.0	5.0	2.0	Local transmission	0.0							
		58.0						Morocco	574.0	33.0	6.0	Local transmission	0.0							
		0.0						Bahrain	515.0	4.0	0.0	Local transmission	1.0							
		8.0						Lebanon	446.0	11.0	1.0	Local transmission	0.0							
		50.0						Tunisia	362.0	9.0	1.0	Local transmission	0.0							
		9.0						Jordan	268.0	5.0	2.0	Local transmission	0.0							
		11.0						Kuwait	266.0	0.0	0.0	Local transmission	0.0							
		12.0						Oman	179.0	0.0	0.0	Local transmission	0.0							
		52.0						Afghanistan	166.0	4.0	0.0	Local transmission	0.0							
		7.0						Djibouti	26.0	0.0	0.0	Local transmission	0.0							
		1.0						Syrian Arab Republic	10.0	2.0	1.0	Imported cases only	0.0							
		0.0						Libya	8.0	0.0	0.0	Local transmission	1.0							
		0.0						Sudan	6.0	2.0	0.0	Imported cases only	1.0							
		0.0						Somalia	3.0	0.0	0.0	Imported cases only	4.0							
		 						Territories**	 	 	 	 	 							
		2.0						occupied Palestinian territory	117.0	1.0	0.0	Local transmission	0.0							
		 						Region of the Americas	 	 	 	 	 							
		17987.0						United States of America	140640.0	2398.0	286.0	Local transmission	0.0							
		662.0						Canada	6317.0	66.0	5.0	Local transmission	0.0							
		352.0						Brazil	4256.0	136.0	22.0	Local transmission	0.0							
		540.0						Chile	2449.0	8.0	2.0	Local transmission	0.0							
		127.0						Ecuador	1962.0	60.0	12.0	Local transmission	0.0							
		145.0						Mexico	993.0	20.0	4.0	Local transmission	0.0							
		88.0						Panama	989.0	24.0	7.0	Local transmission	0.0							
		320.0						Dominican Republic	901.0	42.0	22.0	Local transmission	0.0							
		181.0						Peru	852.0	11.0	0.0	Local transmission	0.0							
		75.0						Argentina	820.0	20.0	1.0	Local transmission	0.0							
		94.0						Colombia	702.0	10.0	4.0	Local transmission	0.0							
		19.0						Costa Rica	314.0	2.0	0.0	Local transmission	0.0							
		6.0						Uruguay	309.0	0.0	0.0	Local transmission	0.0							
		51.0						Cuba	170.0	4.0	1.0	Local transmission	0.0							
		29.0						Honduras	139.0	2.0	0.0	Local transmission	0.0							
		16.0						Venezuela (Bolivarian Republic of)	129.0	3.0	1.0	Local transmission	0.0							
		23.0						Bolivia (Plurinational State of)	97.0	5.0	5.0	Local transmission	0.0							
		6.0						Trinidad and Tobago	82.0	3.0	0.0	Local transmission	0.0							
		5.0						Paraguay	64.0	3.0	0.0	Local transmission	0.0							
		2.0						Guatemala	36.0	1.0	0.0	Local transmission	0.0							
		4.0						Jamaica	36.0	1.0	0.0	Local transmission	0.0							
		7.0						Barbados	33.0	0.0	0.0	Local transmission	0.0							
		6.0						El Salvador	30.0	0.0	0.0	Local transmission	0.0							
		0.0						Haiti	15.0	0.0	0.0	Imported cases only	1.0							
		4.0						Bahamas	14.0	0.0	0.0	Local transmission	0.0							
		0.0						Dominica	11.0	0.0	0.0	Local transmission	4.0							
		2.0						Grenada	9.0	0.0	0.0	Local transmission	0.0							
		5.0						Saint Lucia	9.0	0.0	0.0	Local transmission	0.0							
		3.0						Guyana	8.0	1.0	0.0	Local transmission	0.0							
		0.0						Suriname	8.0	0.0	0.0	Imported cases only	3.0							
		0.0						Antigua and Barbuda	7.0	0.0	0.0	Imported cases only	3.0							
		0.0						Nicaragua	4.0	1.0	0.0	Imported cases only	2.0							
		1.0						Belize	3.0	0.0	0.0	Local transmission	0.0							
		0.0						Saint Kitts and Nevis	2.0	0.0	0.0	Imported cases only	0.0							
		0.0						Saint Vincent and the Grenadines	1.0	0.0	0.0	Imported cases only	18.0							
		 						Territories**	 	 	 	 	 							
		110.0						Puerto Rico	174.0	6.0	4.0	Imported cases only	0.0							
		6.0						Martinique	111.0	2.0	0.0	Local transmission	0.0							
		10.0						Guadeloupe	106.0	4.0	2.0	Imported cases only	0.0							
		4.0						Aruba	50.0	0.0	0.0	Local transmission	0.0							
		12.0						French Guiana	43.0	0.0	0.0	Local transmission	0.0							
		8.0						United States Virgin Islands	30.0	0.0	0.0	Imported cases only	0.0							
		0.0						Bermuda	22.0	0.0	0.0	Local transmission	1.0							
		12.0						Saint Martin	18.0	1.0	1.0	Under investigation	0.0							
		4.0						Curaçao	11.0	1.0	0.0	Imported cases only	0.0							
		4.0						Cayman Islands	12.0	1.0	0.0	Imported cases only	0.0							
		1.0						Saint Barthélemy	6.0	0.0	0.0	Under investigation	0.0							
		3.0						Sint Maarten	6.0	0.0	0.0	Imported cases only	0.0							
		0.0						Montserrat	5.0	0.0	0.0	Imported cases only	3.0							
		1.0						Turks and Caicos Islands	5.0	0.0	0.0	Local transmission	0.0							
		0.0						Anguilla	2.0	0.0	0.0	Local transmission	4.0							
		0.0						British Virgin Islands	2.0	0.0	0.0	Imported cases only	4.0							
		 						African Region	 	 	 	 	 							
		46.0						South Africa	1326.0	3.0	2.0	Local transmission	0.0							
		57.0						Algeria	511.0	31.0	2.0	Local transmission	0.0							
		24.0						Burkina Faso	246.0	12.0	9.0	Local transmission	0.0							
		4.0						Cote d’Ivoire	169.0	0.0	0.0	Local transmission	0.0							
		20.0						Senegal	162.0	0.0	0.0	Local transmission	0.0							
		0.0						Ghana	152.0	5.0	0.0	Local transmission	1.0							
		26.0						Cameroon	139.0	6.0	4.0	Local transmission	0.0							
		46.0						Nigeria	111.0	1.0	0.0	Local transmission	0.0							
		5.0						Mauritius	107.0	2.0	0.0	Local transmission	0.0							
		17.0						Democratic Republic of the Congo	98.0	8.0	0.0	Local transmission	0.0							
		0.0						Rwanda	70.0	0.0	0.0	Local transmission	1.0							
		9.0						Madagascar	46.0	0.0	0.0	Imported cases only	0.0							
		13.0						Kenya	38.0	1.0	0.0	Local transmission	0.0							
		19.0						Zambia	35.0	0.0	0.0	Local transmission	0.0							
		6.0						Togo	34.0	1.0	0.0	Local transmission	0.0							
		0.0						Uganda	33.0	0.0	0.0	Local transmission	1.0							
		2.0						Ethiopia	23.0	0.0	0.0	Local transmission	0.0							
		0.0						Niger	20.0	3.0	0.0	Local transmission	1.0							
		0.0						Congo	19.0	0.0	0.0	Imported cases only	3.0							
		5.0						United Republic of Tanzania	19.0	0.0	0.0	Under investigation	0.0							
		0.0						Mali	18.0	0.0	0.0	Local transmission	2.0							
														Equatorial Guinea	14.0	1.0	0.0	0.0	Local transmission	0.0
														Namibia	11.0	0.0	0.0	0.0	Imported cases only	1.0
														Eswatini	9.0	0.0	0.0	0.0	Imported cases only	3.0
														Mozambique	8.0	0.0	0.0	0.0	Local transmission	2.0
														Seychelles	8.0	0.0	0.0	0.0	Imported cases only	1.0
														Gabon	7.0	0.0	1.0	0.0	Imported cases only	3.0
														Benin	6.0	0.0	0.0	0.0	Imported cases only	4.0
														Central African Republic	6.0	0.0	0.0	0.0	Imported cases only	3.0
														Eritrea	6.0	0.0	0.0	0.0	Imported cases only	4.0
														Cabo Verde	5.0	0.0	1.0	0.0	Imported cases only	3.0
														Chad	5.0	0.0	0.0	0.0	Imported cases only	4.0
														Mauritania	5.0	0.0	0.0	0.0	Imported cases only	2.0
														Zimbabwe	5.0	0.0	1.0	0.0	Local transmission	3.0
														Gambia	3.0	0.0	1.0	0.0	Imported cases only	2.0
														Liberia	3.0	0.0	0.0	0.0	Local transmission	9.0
														Angola	2.0	0.0	0.0	0.0	Imported cases only	9.0
														Guinea-Bissau	2.0	0.0	0.0	0.0	Imported cases only	5.0
														Territories**	 	 	 	 	 	 
														Réunion	207.0	0.0	0.0	0.0	Local transmission	1.0
														Mayotte	82.0	0.0	0.0	0.0	Local transmission	1.0
														Subtotal for all regions	750178.0	57610.0	36398.0	3301.0	 	 
														International conveyance (Diamond Princess)	712.0	0.0	7.0	0.0	Local transmission	15.0
														Grand total	750890.0	57610.0	36405.0	3301.0	 	 
