Province/ Region/ City	Population (10,000s)	Daily	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9
 	 	Confirmed cases	Suspected cases	Deaths	Confirmed cases	Deaths	 	 	 
Hubei	5917.0	349	880	108	62031	2029	 	 	 
Guangdong	11346.0	1	1	0	1332	5	 	 	 
Henan	9605.0	4	66	0	1265	19	 	 	 
Zhejiang	5737.0	2	6	0	1175	0	 	 	 
Hunan	6899.0	2	5	0	1010	4	 	 	 
Anhui	6324.0	1	0	0	987	6	 	 	 
Jiangxi	4648.0	1	0	0	934	1	 	 	 
Jiangsu	8051.0	0	1	0	631	0	 	 	 
Chongqing	3102.0	5	45	0	560	5	 	 	 
Shandong	10047.0	2	10	1	546	4	 	 	 
Sichuan	8341.0	6	21	0	520	3	 	 	 
Heilongjiang	3773.0	6	4	0	476	12	 	 	 
Beijing	2154.0	2	25	0	395	4	 	 	 
Shanghai	2424.0	0	56	1	333	2	 	 	 
Hebei	7556.0	1	0	1	307	5	 	 	 
Fujian	3941.0	0	0	1	293	1	 	 	 
Guangxi	4926.0	1	17	0	245	2	 	 	 
Shaanxi	3864.0	3	8	1	245	1	 	 	 
Yunnan	4830.0	0	21	1	172	1	 	 	 
Hainan	934.0	5	16	0	168	4	 	 	 
Guizhou	3600.0	0	2	0	146	2	 	 	 
Shanxi	3718.0	0	1	0	131	0	 	 	 
Tianjin	1560.0	2	57	0	130	3	 	 	 
Liaoning	4359.0	0	26	0	121	1	 	 	 
Gansu	2637.0	1	9	0	91	1	 	 	 
Jilin	2704.0	0	0	0	91	2	 	 	 
Xinjiang	2487.0	0	0	0	76	1	 	 	 
Inner Mongolia	2534.0	0	0	0	75	0	 	 	 
Ningxia	688.0	0	0	0	71	0	 	 	 
Hong Kong SAR	745.0	3	0	1	65	2	 	 	 
Taipei and environs	2359.0	2	0	0	24	1	 	 	 
Qinghai	603.0	0	0	0	18	0	 	 	 
Macao SAR	66.0	0	0	0	10	0	 	 	 
Xizang	344.0	0	0	0	1	0	 	 	 
Total	142823.0	399	1277	115	74675	2121	 	 	 
Country/Territory/ Area	Confirmed* cases (new) 104 (53) 85 (12) 84 (3) 22 (0) 16 (0)	Likely place of exposure†	 	 	Total cases with site of transmission under investigation (new) 15 (10) 8 (3) 7 (0) 2 (0) 0 (0)	Total deaths (new) 1 (1) 1 (0) 0 (0) 0 (0) 0 (0)	 	 	 
 	 	China (new)	Outside reporting country and outside China (new)	In reporting country (new)	 	 	 	 	 
Western Pacific Region	 	 	 	 	 	 	 	 	 
Republic of Korea	 	104 (53)	13 (0)	4 (0)	 	 	 	 	 
Japan	 	85 (12)	26 (0)	5 (2)	 	 	 	 	 
Singapore	 	84 (3)	23 (0)	0 (0)	 	 	 	 	 
Malaysia	 	22 (0)	17 (0)	1 (0)	 	 	 	 	 
Viet Nam	 	16 (0)	8 (0)	0 (0)	 	 	 	 	 
Australia	15 (0)	12 (0)	0 (0)	3 (0)	0 (0)	0 (0)	 	 	 
Philippines	3 (0)	3 (0)	0 (0)	0 (0)	0 (0)	1 (0)	 	 	 
Cambodia	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
South-East Asia Region	 	 	 	 	 	 	 	 	 
Thailand	35 (0)	23 (0)	0 (0)	5 (0)	7 (0)	0 (0)	 	 	 
India	3 (0)	3 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Nepal	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Sri Lanka	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Region of the Americas	 	 	 	 	 	 	 	 	 
United States of America	15 (0)	13 (0)	0 (0)	2 (0)	0 (0)	0 (0)	 	 	 
Canada	8 (0)	7 (0)	0 (0)	0 (0)	1 (0)	0 (0)	 	 	 
European Region	 	 	 	 	 	 	 	 	 
Germany	16 (0)	2 (0)	0 (0)	14 (0)	0 (0)	0 (0)	 	 	 
France	12 (0)	5 (0)	0 (0)	7 (0)	0 (0)	1 (0)	 	 	 
The United Kingdom	9 (0)	2 (0)	6 (0)	1 (0)	0 (0)	0 (0)	 	 	 
Italy	3 (0)	3 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Russian Federation	2 (0)	2 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Spain	2 (0)	0 (0)	2 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Belgium	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Finland	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Sweden	1 (0)	1 (0)	0 (0)	0 (0)	0 (0)	0 (0)	 	 	 
Eastern Mediterranean Region	 	 	 	 	 	 	 	 	 
United Arab Emirates	9 (0)	6 (0)	0 (0)	2 (0)	1 (0)	0 (0)	 	 	 
Iran (Islamic Republic of)	2 (2)	0 (0)	0 (0)	0 (0)	2 (2)	2 (2)	 	 	 
Egypt	1 (0)	0 (0)	0 (0)	1 (0)	0 (0)	0 (0)	 	 	 
Other	 	 	 	 	 	 	 	 	 
International conveyance‡ (Diamond Princess)	621 (79)	0 (0)	0 (0)	0 (0)	621 (79)	2 (2)	 	 	 
