Province/ Region/ City	Population (10,000s)	In last 24 hours	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9	Herzegovina	Unnamed: 1	Unnamed: 2	Unnamed: 6
			6.0	2.0	Local transmission					Iraq	60.0	6.0	0.0
			1.0	1.0	Local transmission					Egypt	55.0	7.0	0.0
			0.0	0.0	Local transmission					United Arab Emirates	45.0	0.0	2.0
			0.0	0.0	Local transmission					Lebanon	32.0	4.0	0.0
			0.0	0.0	Imported cases only					Oman	16.0	0.0	3.0
			0.0	0.0	Imported cases only					Qatar	15.0	3.0	0.0
			0.0	0.0	Imported cases only					Saudi Arabia	15.0	8.0	0.0
			0.0	0.0	Imported cases only					Pakistan	6.0	1.0	0.0
			0.0	0.0	Imported cases only					Afghanistan	4.0	0.0	1.0
			0.0	0.0	Imported cases only					Morocco	2.0	0.0	4.0
			0.0	0.0	Imported cases only					Tunisia	2.0	1.0	0.0
			0.0	0.0	Imported cases only					Jordan	1.0	0.0	6.0
			 	 	 					Territories**	 	 	 
			0.0	0.0	Local transmission					occupied Palestinian territory	19.0	3.0	0.0
			 	 	 					Region of the Americas	 	 	 
			11.0	0.0	Local transmission					United States of America	213.0	0.0	2.0
			0.0	0.0	Local transmission					Canada	62.0	5.0	0.0
			0.0	0.0	Local transmission					Brazil	25.0	6.0	0.0
			0.0	0.0	Local transmission					Ecuador	15.0	1.0	0.0
			1.0	0.0	Imported cases only					Argentina	12.0	3.0	0.0
			0.0	0.0	Local transmission					Chile	10.0	5.0	0.0
			0.0	0.0	Local transmission					Costa Rica	9.0	4.0	0.0
			0.0	0.0	Imported cases only					Mexico	7	0.0	1.0
			0.0	0.0	Local transmission					Peru	6	0.0	2.0
			0.0	0.0	Imported cases only					Colombia	1	0.0	2.0
			0.0	0.0	Imported cases only					Dominican Republic	1	0.0	7.0
			0.0	0.0	Imported cases only					Paraguay	1	1.0	0.0
			 	 	 					Territories**	 	 	 
			0.0	0.0	Imported cases only					French Guiana	5	0.0	1.0
			0.0	0.0	Imported cases only					Martinique	2	0.0	1.0
			0.0	0.0	Under investigation					Saint Martin	2	0.0	6.0
			0.0	0.0	Under investigation					Saint Barthelemy	1	0.0	6.0
			 	 	 					African Region	 	 	 
			0.0	0.0	Local transmission					Algeria	20	3.0	0.0
			0.0	0.0	Imported cases only					Senegal	4	0.0	4.0
			0.0	0.0	Imported cases only					South Africa	3	1.0	0.0
			0.0	0.0	Local transmission					Cameroon	2	0.0	2.0
			0.0	0.0	Imported cases only					Nigeria	2	1.0	0.0
			0.0	0.0	Imported cases only					Togo	1	0.0	2.0
			679.0	202.0	 					Subtotal for all regions	27 977	3948.0	 
			7.0	0.0	Local transmission					International conveyance (Diamond Princess)	696	0.0	1.0
			686.0	202.0	 					Grand total	28 673	3948.0	 
