Reporting Country/ Territory/Area†	Total confirmed ‡ cases	Unnamed: 2	Total confirmed new cases	Total deaths	Total new deaths	Transmission classification§	Days since last reported case	Eastern Mediterranean Region	Unnamed: 1	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Tanzania
Malta	151.0	12.0	0.0	0.0	Local transmission	0.0	 							
Uzbekistan	145.0	12.0	2.0	0.0	Local transmission	0.0	 							
Georgia	98.0	8.0	0.0	0.0	Local transmission	0.0	 							
Belarus	152.0	58.0	0.0	0.0	Local transmission	0.0	 							
Montenegro	85.0	3.0	1.0	0.0	Local transmission	0.0	 							
Kyrgyzstan	84.0	0.0	0.0	0.0	Local transmission	1.0	 							
Liechtenstein	62.0	1.0	0.0	0.0	Under investigation	0.0	 							
Monaco	46.0	27.0	0.0	0.0	Local transmission	0.0	 							
Holy See	6.0	2.0	0.0	0.0	Under investigation	0.0	 							
Territories**	 	 	 	 	 	 	 							
Faroe Islands	159.0	4.0	0.0	0.0	Local transmission	0.0	 							
Kosovo[1]	94.0	3.0	1.0	0.0	Local transmission	0.0	 							
Gibraltar	65.0	9.0	0.0	0.0	Local transmission	0.0	 							
Jersey	63.0	2.0	2.0	1.0	Local transmission	0.0	 							
Isle of Man	42.0	10.0	0.0	0.0	Local transmission	0.0	 							
Guernsey	39.0	0.0	0.0	0.0	Local transmission	1.0	 							
Greenland	10.0	0.0	0.0	0.0	Under investigation	1.0	 							
South-East Asia Region	 	 	 	 	 	 	 							
Thailand	1524.0	136.0	9.0	2.0	Local transmission	0.0	 							
Indonesia	1285.0	130.0	114.0	12.0	Local transmission	0.0	 							
India	1071.0	92.0	29.0	4.0	Local transmission	0.0	 							
Sri Lanka	120.0	14.0	1.0	1.0	Local transmission	0.0	 							
Bangladesh	49.0	1.0	5.0	0.0	Local transmission	0.0	 							
Maldives	17.0	1.0	0.0	0.0	Local transmission	0.0	 							
Myanmar	8.0	0.0	0.0	0.0	Local transmission	1.0	 							
Nepal	5.0	0.0	0.0	0.0	Imported cases only	1.0	 							
Bhutan	4.0	1.0	0.0	0.0	Imported cases only	0.0	 							
Timor-Leste	1.0	0.0	0.0	0.0	Under investigation	9.0	 							
		2901.0						Iran (Islamic Republic of)	38309.0	2640.0	123.0	Local transmission	0.0	
		99.0						Pakistan	1625.0	18.0	5.0	Local transmission	0.0	
		96.0						Saudi Arabia	1299.0	8.0	4.0	Local transmission	0.0	
		44.0						Qatar	634.0	2.0	1.0	Local transmission	0.0	
		33.0						Egypt	609.0	40.0	4.0	Local transmission	0.0	
		102.0						United Arab Emirates	570.0	3.0	1.0	Local transmission	0.0	
		41.0						Iraq	547.0	42.0	0.0	Local transmission	0.0	
		79.0						Morocco	516.0	27.0	1.0	Local transmission	0.0	
		39.0						Bahrain	515.0	4.0	0.0	Local transmission	0.0	
		26.0						Lebanon	438.0	10.0	2.0	Local transmission	0.0	
		34.0						Tunisia	312.0	8.0	0.0	Local transmission	0.0	
		13.0						Jordan	259.0	3.0	2.0	Local transmission	0.0	
		20.0						Kuwait	255.0	0.0	0.0	Local transmission	0.0	
		0.0						Oman	167.0	0.0	0.0	Local transmission	1.0	
		0.0						Afghanistan	114.0	4.0	0.0	Local transmission	1.0	
		4.0						Djibouti	19.0	0.0	0.0	Local transmission	0.0	
		4.0						Syrian Arab Republic	9.0	1.0	1.0	Imported cases only	0.0	
		5.0						Libya	8.0	0.0	0.0	Local transmission	0.0	
		1.0						Sudan	6.0	2.0	1.0	Imported cases only	0.0	
		0.0						Somalia	3.0	0.0	0.0	Imported cases only	3.0	
		 						Territories**	 	 	 	 	 	
		11.0						occupied Palestinian territory	115.0	1.0	0.0	Local transmission	0.0	
		 						Region of the Americas	 	 	 	 	 	
		19332.0						United States of America	122653.0	2112.0	444.0	Local transmission	0.0	
		898.0						Canada	5655.0	61.0	6.0	Local transmission	0.0	
		487.0						Brazil	3904.0	114.0	22.0	Local transmission	0.0	
		0.0						Chile	1909.0	6.0	0.0	Local transmission	1.0	
		12.0						Ecuador	1835.0	48.0	0.0	Local transmission	0.0	
		115.0						Panama	901.0	17.0	3.0	Local transmission	0.0	
		131.0						Mexico	848.0	16.0	4.0	Local transmission	0.0	
		55.0						Argentina	745.0	19.0	2.0	Local transmission	0.0	
		36.0						Peru	671.0	11.0	0.0	Local transmission	0.0	
		69.0						Colombia	608.0	6.0	0.0	Local transmission	0.0	
		0.0						Dominican Republic	581.0	20.0	0.0	Local transmission	2.0	
		29.0						Uruguay	303.0	0.0	0.0	Local transmission	0.0	
		32.0						Costa Rica	295.0	2.0	0.0	Local transmission	0.0	
		0.0						Cuba	119.0	3.0	0.0	Local transmission	1.0	
		0.0						Venezuela (Bolivarian Republic of)	113.0	2.0	0.0	Local transmission	1.0	
		43.0						Honduras	110.0	2.0	1.0	Local transmission	0.0	
		2.0						Trinidad and Tobago	76.0	3.0	1.0	Local transmission	0.0	
		0.0						Bolivia (Plurinational State of)	74.0	0.0	0.0	Local transmission	1.0	
		3.0						Paraguay	59.0	3.0	0.0	Local transmission	0.0	
		2.0						Guatemala	34.0	1.0	0.0	Local transmission	0.0	
		2.0						Jamaica	32.0	1.0	0.0	Local transmission	0.0	
		2.0						Barbados	26.0	0.0	0.0	Local transmission	0.0	
		5.0						El Salvador	24.0	0.0	0.0	Local transmission	0.0	
		7.0						Haiti	15.0	0.0	0.0	Imported cases only	0.0	
		0.0						Dominica	11.0	0.0	0.0	Local transmission	3.0	
		0.0						Bahamas	10.0	0.0	0.0	Local transmission	1.0	
		0.0						Suriname	8.0	0.0	0.0	Imported cases only	2.0	
		0.0						Antigua and Barbuda	7.0	0.0	0.0	Imported cases only	2.0	
		0.0						Grenada	7.0	0.0	0.0	Local transmission	3.0	
		0.0						Guyana	5.0	1.0	0.0	Local transmission	11.0	
		0.0						Nicaragua	4.0	1.0	0.0	Imported cases only	1.0	
		2.0						Saint Kitts and Nevis	4.0	0.0	0.0	Imported cases only	0.0	
		1.0						Saint Lucia	4.0	0.0	0.0	Imported cases only	0.0	
		0.0						Belize	2.0	0.0	0.0	Local transmission	4.0	
		0.0						Saint Vincent and the Grenadines	1.0	0.0	0.0	Imported cases only	17.0	
		 						Territories**	 	 	 	 	 	
		12.0						Martinique	105.0	2.0	1.0	Imported cases only	0.0	
		0.0						Guadeloupe	96.0	2.0	0.0	Imported cases only	2.0	
		0.0						Puerto Rico	64.0	2.0	0.0	Imported cases only	3.0	
		0.0						Aruba	46.0	0.0	0.0	Local transmission	1.0	
		0.0						French Guiana	31.0	0.0	0.0	Local transmission	2.0	
		5.0						Bermuda	22.0	0.0	0.0	Local transmission	0.0	
		5.0						United States Virgin Islands	22.0	0.0	0.0	Imported cases only	0.0	
		0.0						Cayman Islands	8.0	1.0	0.0	Imported cases only	4.0	
		0.0						Curaçao	7.0	1.0	0.0	Imported cases only	3.0	
		0.0						Saint Martin	6.0	0.0	0.0	Under investigation	0.0	
		0.0						Montserrat	5.0	0.0	0.0	Imported cases only	2.0	
		0.0						Saint Barthélemy	5.0	0.0	0.0	Under investigation	2.0	
		2.0						Turks and Caicos Islands	4.0	0.0	0.0	Local transmission	0.0	
		0.0						Sint Maarten	3.0	0.0	0.0	Imported cases only	2.0	
		0.0						Anguilla	2.0	0.0	0.0	Local transmission	3.0	
		0.0						British Virgin Islands	2.0	0.0	0.0	Imported cases only	3.0	
		 						African Region	 	 	 	 	 	
		93.0						South Africa	1280.0	1.0	0.0	Local transmission	0.0	
		45.0						Algeria	454.0	29.0	3.0	Local transmission	0.0	
		76.0						Burkina Faso	222.0	3.0	0.0	Local transmission	0.0	
		25.0						Cote d’Ivoire	165.0	0.0	0.0	Local transmission	0.0	
		15.0						Ghana	152.0	5.0	1.0	Local transmission	0.0	
		23.0						Senegal	142.0	0.0	0.0	Local transmission	0.0	
		22.0						Cameroon	113.0	2.0	0.0	Local transmission	0.0	
		0.0						Mauritius	102.0	2.0	0.0	Local transmission	1.0	
		13.0						Democratic Republic of the Congo	81.0	8.0	2.0	Local transmission	0.0	
		10.0						Rwanda	70.0	0.0	0.0	Local transmission	0.0	
		0.0						Nigeria	65.0	1.0	0.0	Local transmission	3.0	
		11.0						Madagascar	37.0	0.0	0.0	Imported cases only	0.0	
		19.0						Uganda	33.0	0.0	0.0	Local transmission	0.0	
		0.0						Togo	28.0	1.0	1.0	Local transmission	0.0	
		0.0						Kenya	25.0	1.0	0.0	Local transmission	5.0	
		5.0						Ethiopia	21.0	0.0	0.0	Local transmission	0.0	
		10.0						Niger	20.0	3.0	2.0	Local transmission	0.0	
		0.0						Congo	19.0	0.0	0.0	Imported cases only	2.0	
		0.0						Mali	18.0	0.0	0.0	Local transmission	1.0	
		8.0						Guinea	16.0	0.0	0.0	Imported cases only	0.0	
		0.0						Zambia	16.0	0.0	0.0	Local transmission	1.0	
		0.0						United Republic of	14.0	0.0	0.0	Under investigation	1.0	
		7.0							13.0	0.0	0.0	Local transmission	0.0	Equatorial Guinea
		3.0							11.0	0.0	0.0	Imported cases only	0.0	Namibia
		0.0							9.0	0.0	0.0	Imported cases only	2.0	Eswatini
		0.0							8.0	0.0	0.0	Local transmission	1.0	Mozambique
		1.0							8.0	0.0	0.0	Imported cases only	0.0	Seychelles
		0.0							7.0	1.0	0.0	Imported cases only	2.0	Gabon
		0.0							6.0	0.0	0.0	Imported cases only	3.0	Benin
		0.0							6.0	0.0	0.0	Imported cases only	2.0	Central African Republic
		0.0							6.0	0.0	0.0	Imported cases only	3.0	Eritrea
		0.0							5.0	1.0	0.0	Imported cases only	2.0	Cabo Verde
		0.0							5.0	0.0	0.0	Imported cases only	3.0	Chad
		0.0							5.0	0.0	0.0	Imported cases only	1.0	Mauritania
		0.0							5.0	1.0	0.0	Local transmission	2.0	Zimbabwe
		0.0							3.0	1.0	0.0	Imported cases only	1.0	Gambia
		0.0							3.0	0.0	0.0	Local transmission	8.0	Liberia
		0.0							2.0	0.0	0.0	Imported cases only	8.0	Angola
		0.0							2.0	0.0	0.0	Imported cases only	4.0	Guinea-Bissau
		 							 	 	 	 	 	Territories**
		64.0							207.0	0.0	0.0	Local transmission	0.0	Réunion
		32.0							82.0	0.0	0.0	Local transmission	0.0	Mayotte
		58469.0							692570.0	33099.0	3215.0	 	 	Subtotal for all regions
		0.0							712.0	7.0	0.0	Local transmission	14.0	International conveyance (Diamond Princess)
		58469.0							693282.0	33106.0	3215.0	 	 	Grand total
