Province/ Region/ City	Population (10,000s)	Daily	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9
 	 	Confirmed cases*	Suspected cases	Deaths	Confirmed cases	Deaths	 	 	 
Hubei	5917.0	1933	909	100	58182	1696	 	 	 
Guangdong	11346.0	6	1	2	1322	4	 	 	 
Henan	9605.0	15	112	3	1246	16	 	 	 
Zhejiang	5737.0	4	13	0	1171	0	 	 	 
Hunan	6899.0	2	14	0	1006	3	 	 	 
Anhui	6324.0	11	9	0	973	6	 	 	 
Jiangxi	4648.0	5	2	0	930	1	 	 	 
Jiangsu	8051.0	9	3	0	626	0	 	 	 
Chongqing	3102.0	7	63	0	551	5	 	 	 
Shandong	10047.0	4	21	0	541	2	 	 	 
Sichuan	8341.0	14	40	0	495	3	 	 	 
Heilongjiang	3773.0	12	27	0	457	11	 	 	 
Beijing	2154.0	1	33	0	381	4	 	 	 
Shanghai	2424.0	3	67	0	331	1	 	 	 
Hebei	7556.0	1	2	0	301	3	 	 	 
Fujian	3941.0	3	3	0	290	0	 	 	 
Shaanxi	3864.0	4	15	0	240	0	 	 	 
Guangxi	4926.0	1	26	0	238	2	 	 	 
Yunnan	4830.0	2	22	0	171	0	 	 	 
Hainan	934.0	0	27	0	162	4	 	 	 
Guizhou	3600.0	2	2	0	146	1	 	 	 
Shanxi	3718.0	1	5	0	129	0	 	 	 
Tianjin	1560.0	2	88	0	124	3	 	 	 
Liaoning	4359.0	1	45	0	121	1	 	 	 
Gansu	2637.0	1	0	0	91	2	 	 	 
Jilin	2704.0	0	9	0	89	1	 	 	 
Xinjiang	2487.0	2	2	0	73	1	 	 	 
Inner Mongolia	2534.0	2	3	0	72	0	 	 	 
Ningxia	688.0	0	0	0	70	0	 	 	 
Hong Kong SAR	745.0	1	0	0	57	1	 	 	 
Taipei and environs	2359.0	2	0	1	20	1	 	 	 
Qinghai	603.0	0	0	0	18	0	 	 	 
Macao SAR	66.0	0	0	0	10	0	 	 	 
Xizang	344.0	0	0	0	1	0	 	 	 
Total	142823.0	2051	1563	106	70635	1772	 	 	 
