Province/ Region/ City	Population (10,000s)	Daily	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9
 	 	cases Confirmed	Suspected cases	Deaths	Confirmed cases	Deaths	 	 	 
Hubei	5917.0	366	1125	106	63454	2250	 	 	 
Guangdong	11346.0	6	1	0	1339	5	 	 	 
Henan	9605.0	3	25	0	1270	19	 	 	 
Zhejiang	5737.0	2	4	0	1205	1	 	 	 
Hunan	6899.0	2	2	0	1013	4	 	 	 
Anhui	6324.0	1	0	0	989	6	 	 	 
Jiangxi	4648.0	0	0	0	934	1	 	 	 
Shandong	10047.0	2	3	0	750	4	 	 	 
Jiangsu	8051.0	0	0	0	631	0	 	 	 
Chongqing	3102.0	5	15	0	572	6	 	 	 
Sichuan	8341.0	1	21	0	526	3	 	 	 
Heilongjiang	3773.0	0	0	0	479	12	 	 	 
Beijing	2154.0	3	26	0	399	4	 	 	 
Shanghai	2424.0	0	48	1	334	3	 	 	 
Hebei	7556.0	1	0	1	309	6	 	 	 
Fujian	3941.0	0	0	0	293	1	 	 	 
Guangxi	4926.0	3	6	0	249	2	 	 	 
Shaanxi	3864.0	0	3	0	245	1	 	 	 
Yunnan	4830.0	0	14	0	174	2	 	 	 
Hainan	934.0	0	11	0	168	4	 	 	 
Guizhou	3600.0	0	2	0	146	2	 	 	 
Tianjin	1560.0	2	31	0	133	3	 	 	 
Shanxi	3718.0	0	2	0	132	0	 	 	 
Liaoning	4359.0	0	14	0	121	1	 	 	 
Jilin	2704.0	0	7	0	91	1	 	 	 
Gansu	2637.0	0	0	0	91	2	 	 	 
Xinjiang	2487.0	0	0	1	76	2	 	 	 
Inner Mongolia	2534.0	0	0	0	75	0	 	 	 
Ningxia	688.0	0	1	0	71	0	 	 	 
Hong Kong SAR	745.0	0	0	0	68*	2	 	 	 
Taipei and environs	2359.0	0	0	0	26	1	 	 	 
Qinghai	603.0	0	0	0	18	0	 	 	 
Macao SAR	66.0	0	0	0	10	0	 	 	 
Xizang	344.0	0	0	0	1	0	 	 	 
Total	142823.0	397	1361	109	76392	2348	 	 	 
