Province/ Region/ City	Population (10,000s)	Daily	Unnamed: 3	Unnamed: 4	Unnamed: 5	Cumulative	Unnamed: 7	Unnamed: 8	Unnamed: 9
 	 	Confirmed cases*	Suspected cases	Deaths	Confirmed cases	Deaths	 	 	 
Hubei	5917.0	1807	788	93	59989	1789	 	 	 
Guangdong	11346.0	6	0	0	1328	4	 	 	 
Henan	9605.0	11	102	3	1257	19	 	 	 
Zhejiang	5737.0	1	15	0	1172	0	 	 	 
Hunan	6899.0	1	15	1	1007	4	 	 	 
Anhui	6324.0	9	7	0	982	6	 	 	 
Jiangxi	4648.0	3	0	0	933	1	 	 	 
Jiangsu	8051.0	3	4	0	629	0	 	 	 
Chongqing	3102.0	2	50	0	553	5	 	 	 
Shandong	10047.0	2	17	0	543	2	 	 	 
Sichuan	8341.0	13	28	0	508	3	 	 	 
Heilongjiang	3773.0	7	32	0	464	11	 	 	 
Beijing	2154.0	6	49	0	387	4	 	 	 
Shanghai	2424.0	2	65	0	333	1	 	 	 
Hebei	7556.0	1	1	1	302	4	 	 	 
Fujian	3941.0	2	2	0	292	0	 	 	 
Guangxi	4926.0	4	21	0	242	2	 	 	 
Shaanxi	3864.0	0	22	0	240	0	 	 	 
Yunnan	4830.0	1	18	0	172	0	 	 	 
Hainan	934.0	1	22	0	163	4	 	 	 
Guizhou	3600.0	0	2	0	146	1	 	 	 
Shanxi	3718.0	1	6	0	130	0	 	 	 
Tianjin	1560.0	1	83	0	125	3	 	 	 
Liaoning	4359.0	0	64	0	121	1	 	 	 
Gansu	2637.0	0	0	0	91	2	 	 	 
Jilin	2704.0	0	14	0	89	1	 	 	 
Xinjiang	2487.0	1	1	0	76	1	 	 	 
Inner Mongolia	2534.0	1	0	0	73	0	 	 	 
Ningxia	688.0	0	4	0	70	0	 	 	 
Hong Kong SAR	745.0	3	0	0	60	1	 	 	 
Taipei and environs	2359.0	2	0	0	22	1	 	 	 
Qinghai	603.0	0	0	0	18	0	 	 	 
Macao SAR	66.0	0	0	0	10	0	 	 	 
Xizang	344.0	0	0	0	1	0	 	 	 
Total	142823.0	1891	1432	98	72528	1870	 	 	 
